31.882,1.522,0.412,1.423,5.523,0.782,11.666,0.627,0.256,6.552,0.814,2.725,0.406,1.140,0.319,1.082,3.524,1.340,7.835,8.151,8.160,4.064,8.134,0.822,46.668
344.938,2.365,1.855,18.678,8.851,3.315,9.614,1.056,1.507,13.461,6.907,63.047,2.347,2.069,3.554,2.011,19.350,1.265,23.516,40.584,36.721,20.117,71.382,1.756,79.992
159.533,3.089,0.860,3.758,10.585,0.754,7.796,1.059,0.316,17.149,1.131,28.968,4.484,0.251,10.718,1.801,26.003,1.360,20.847,24.704,9.729,5.118,48.461,4.382,83.415
31.583,1.262,0.327,0.968,5.489,1.205,6.031,0.587,0.170,5.043,0.547,2.076,0.562,0.414,0.222,0.380,4.028,0.968,4.915,5.147,7.675,0.700,0.072,0.881,16.822
590.117,2.272,0.579,1.001,138.341,2.103,7.733,0.809,0.187,13.758,0.704,1.750,0.269,0.134,0.617,7.137,3.988,2.253,17.540,116.420,300.081,0.853,0.361,3.672,22.420
192.131,2.463,0.465,2.328,9.483,0.505,4.552,0.719,0.138,10.750,1.356,41.501,9.059,0.091,0.233,5.927,19.291,0.907,12.440,19.073,7.217,25.717,60.294,1.153,99.988
257.147,3.530,0.833,6.139,10.355,0.873,21.922,2.340,0.813,19.952,1.870,16.085,1.453,0.314,6.159,4.586,10.960,1.346,18.962,46.185,19.043,15.151,57.030,1.340,67.371
82.360,2.756,0.322,4.232,12.892,1.488,6.471,1.415,1.782,18.799,0.569,2.058,0.278,0.159,0.227,0.384,1.146,0.574,25.159,11.555,9.645,0.684,-0.108,0.866,12.694
294.988,1.542,4.181,3.182,7.261,0.864,3.079,0.867,0.098,149.275,0.362,22.397,1.953,0.068,0.169,1.114,15.496,0.841,10.713,28.663,10.127,7.475,42.319,2.578,70.702
341.414,3.207,0.393,0.688,23.415,0.290,1.882,0.727,0.121,11.094,0.448,4.268,0.183,0.088,0.173,1.304,0.757,0.914,11.061,135.433,10.092,0.621,0.347,1.337,11.479
89.021,0.999,7.617,9.884,5.504,2.369,5.828,5.632,0.068,3.601,30.690,2.160,0.107,0.047,0.130,0.224,7.646,1.423,1.748,4.522,63.209,0.488,0.434,0.971,7.328
31.481,1.320,0.306,0.985,5.521,2.130,0.897,0.588,0.935,4.738,0.469,4.871,0.229,0.124,0.195,0.342,0.839,1.367,3.998,5.024,8.200,6.411,18.357,0.907,20.786
659.573,3.290,0.624,5.329,12.891,0.453,10.135,1.280,1.106,16.477,0.715,24.375,0.648,0.912,0.282,5.129,2.023,1.512,15.175,14.721,16.118,8.007,12.760,1.750,22.824
72.533,0.803,1.004,7.357,1.966,0.640,2.002,0.317,1.956,2.010,0.889,24.777,4.376,3.446,1.055,0.482,9.109,-0.204,12.154,3.149,3.080,2.049,-0.875,0.287,111.467
212.927,1.926,0.519,1.321,6.348,4.807,2.758,0.953,0.221,17.185,0.756,23.740,5.955,0.875,5.386,1.282,17.661,0.776,16.610,40.361,8.944,4.751,26.202,2.683,89.215
28.657,5.709,0.373,1.093,5.682,0.431,7.963,0.639,0.689,6.883,1.167,8.442,0.534,0.168,1.644,0.431,9.086,1.496,27.812,8.206,8.065,0.807,0.276,1.124,30.148
250.770,4.053,0.902,6.412,9.377,0.999,5.697,1.012,0.584,19.746,1.130,60.947,1.117,0.232,7.562,15.357,26.958,1.497,30.506,38.421,10.570,9.073,56.567,1.334,157.047
61.462,1.214,0.311,0.886,9.395,0.347,1.142,0.579,0.155,6.282,1.639,7.753,0.243,0.135,0.204,0.354,0.881,0.476,4.255,7.596,6.372,2.337,0.399,0.887,47.288
43.267,1.724,0.476,5.246,5.533,0.683,15.709,1.160,0.312,7.755,2.295,3.206,3.941,0.280,0.386,1.163,2.541,0.470,10.863,12.929,6.521,3.906,11.298,0.788,40.352
168.579,2.359,0.577,5.018,8.696,0.432,8.630,0.991,2.966,28.978,0.646,52.999,12.342,0.119,1.884,8.253,6.424,1.241,15.450,22.556,15.788,9.269,74.555,1.721,48.398
96.773,1.174,0.400,7.431,5.756,0.548,5.332,1.869,0.251,4.787,0.772,35.411,4.028,0.443,0.743,4.910,8.955,0.185,10.663,7.407,7.157,3.293,19.737,0.760,120.069
100.772,1.684,0.401,0.711,7.605,0.274,3.781,0.787,0.111,7.454,2.387,28.986,0.198,1.012,0.191,6.403,2.817,2.196,5.207,6.692,11.150,33.809,128.073,1.302,57.201
108.877,2.304,3.107,5.092,7.569,0.300,3.583,4.402,0.250,4.950,0.434,16.343,0.212,0.109,1.217,2.112,0.968,0.540,3.958,5.694,6.504,1.011,19.144,1.081,44.486
85.389,1.860,0.580,4.559,4.374,0.775,16.477,0.604,0.592,9.145,1.109,46.856,0.588,2.851,0.460,4.001,11.414,0.540,11.966,8.278,6.396,11.726,53.559,0.612,103.827
87.341,1.713,0.557,12.026,10.927,1.158,16.678,5.133,0.354,8.519,1.113,41.250,0.591,0.318,0.458,3.153,11.093,0.313,11.447,9.472,4.355,9.545,55.005,0.624,112.759
68.081,0.998,1.268,9.819,7.042,0.570,8.433,0.399,0.269,3.381,0.860,8.193,0.407,0.250,0.410,0.470,1.362,0.065,6.903,4.610,4.920,0.925,11.769,1.333,85.702
92.177,2.751,0.329,0.926,50.816,0.366,6.888,0.600,0.958,70.582,2.067,1.987,0.256,0.141,0.645,2.640,0.927,0.515,6.419,38.729,20.659,0.679,0.029,0.925,8.211
166.146,1.281,0.635,0.682,8.680,0.278,0.597,0.614,0.121,5.180,0.593,1.457,0.177,0.098,0.161,0.319,0.665,0.652,6.762,95.565,85.672,1.181,1.211,1.200,6.764
70.908,1.188,0.300,0.834,11.304,3.124,4.496,0.573,0.146,4.608,1.395,1.811,0.226,0.127,0.192,0.383,0.816,0.485,6.039,36.853,54.204,0.618,0.262,0.919,14.189
61.825,1.196,1.159,0.790,63.055,0.311,2.826,2.947,0.137,5.252,0.450,3.060,0.215,0.582,0.185,3.012,0.790,2.220,3.788,29.491,31.670,0.626,0.061,0.934,12.194
52.667,2.180,0.309,0.881,5.450,0.345,3.034,0.578,0.154,4.729,2.680,1.949,0.242,0.134,0.203,0.352,0.875,0.474,4.222,12.709,12.245,0.662,0.057,0.887,12.979
296.519,1.791,1.284,3.731,9.403,0.927,0.986,1.526,0.129,10.964,0.480,4.558,3.919,0.086,0.199,7.348,0.900,2.011,5.183,16.053,13.214,0.767,5.761,1.296,8.776
42.330,1.252,0.322,0.879,10.958,0.345,0.714,0.593,0.153,5.277,0.498,1.973,0.242,0.131,0.204,2.888,0.887,0.508,4.276,10.641,6.553,0.677,0.138,2.400,14.958
20.537,1.005,0.261,1.030,4.479,0.404,0.809,0.501,0.187,3.340,0.572,1.963,0.283,2.854,0.227,0.390,1.511,0.237,4.734,4.884,5.567,0.614,-0.523,0.707,37.612
195.983,3.946,0.568,2.485,8.058,0.894,9.408,2.453,0.191,11.049,0.694,35.856,0.348,2.458,3.142,3.115,20.240,1.061,6.893,15.087,23.339,9.471,47.013,1.744,42.323
257.433,2.820,1.858,4.929,19.850,0.932,4.287,1.055,0.216,38.753,1.859,58.787,3.148,0.157,5.141,5.140,24.876,1.411,34.437,22.179,16.568,5.746,23.107,1.703,64.224
88.783,4.719,0.894,5.600,13.223,3.389,27.814,1.067,0.520,22.633,1.718,14.857,0.883,0.454,5.247,8.101,3.248,1.474,18.249,12.633,9.110,3.816,7.879,0.997,29.200
234.590,1.747,0.421,1.749,7.205,0.301,4.784,0.778,0.121,8.007,0.449,26.245,0.221,0.087,0.205,0.400,27.569,1.819,7.921,14.074,7.878,4.185,17.007,1.142,52.539
49.981,1.643,0.452,5.987,5.394,0.669,15.047,2.062,0.307,28.272,0.967,3.099,0.486,1.584,0.376,0.591,5.849,2.365,8.696,5.915,6.435,6.392,5.459,0.767,30.347
231.943,5.229,0.454,2.243,7.771,0.508,3.300,0.610,3.875,12.982,0.730,32.486,4.878,0.194,2.440,4.390,26.283,0.500,10.166,19.854,5.652,1.074,11.660,0.782,113.657
564.099,2.336,1.212,1.666,100.285,1.283,5.459,1.994,0.173,15.307,0.665,1.980,4.843,0.122,0.252,9.514,14.568,1.356,8.895,172.005,176.042,0.813,0.749,1.749,20.664
501.913,2.289,1.250,0.992,80.222,0.665,4.483,2.231,0.183,16.437,0.695,4.248,0.276,0.139,3.979,1.069,1.169,2.464,32.526,244.175,324.838,0.759,0.933,1.815,7.806
98.383,2.002,0.511,5.130,9.506,3.220,11.946,0.775,0.224,11.891,0.763,23.253,3.688,0.182,0.316,6.192,8.733,0.782,19.737,31.808,20.344,7.429,6.823,1.005,22.390
97.911,1.052,0.335,5.363,6.044,3.270,4.289,0.417,0.220,3.863,0.672,7.656,0.675,0.196,0.369,5.692,1.427,1.944,10.444,12.734,7.775,7.174,14.123,1.339,99.848
262.191,2.022,0.510,13.865,10.889,0.368,6.993,1.167,0.960,9.428,0.540,69.130,0.266,3.693,0.652,5.079,6.230,1.203,13.799,10.425,13.810,41.292,198.891,3.064,79.035
